,Country or territory[a],Cases,Deaths,Recoveries,Ref.
0,China (mainland)[b],80788,3158,61475,[1]
1,Italy,10149,631,1004,[2]
2,Iran,9000,354,2959,[2]
3,South Korea,7755,61,288,[3]
4,Spain,2083,47,135,[4]
5,France[c],1784,33,12,[2]
6,Germany,1622,3,25,[2]
7,United States(including Grand Princess),1015,31,15,[2]
8,Diamond Princess[d],696,7,325,[2]
9,Switzerland,651,3,3,[2]
10,Japan,587,12,102,[2]
11,Norway,429,0,1,[2]
12,Sweden,406,0,1,[2]
13,United Kingdom[e],383,6,19,[2]
14,Netherlands,382,4,0,[2]
15,Denmark[f],342,0,1,[5]
16,Belgium,314,1,1,[2][6]
17,Austria,206,0,4,[2]
18,Bahrain,189,0,30,[2]
19,Singapore,166,0,93,[2]
20,Malaysia,149,0,26,[2]
21,Australia,127,3,24,[2]
22,Hong Kong,121,3,60,[2]
23,Canada,97,1,9,[2]
24,Greece,89,0,0,[2]
25,Iceland,81,0,0,[2]
26,Israel,76,0,4,[2]
27,United Arab Emirates,74,0,12,[2]
28,Kuwait,72,0,2,[2]
29,Iraq,71,7,15,[2]
30,Czech Republic,64,0,0,[2]
31,San Marino,62,2,0,[2]
32,India,62,0,4,[2]
33,Lebanon,61,2,1,[2]
34,Egypt(including MS River Anuket),59,1,26,[2]
35,Thailand,59,1,34,[2]
36,Finland,58,0,1,[2]
37,Philippines,49,1,2,[2]
38,Taiwan,48,1,17,[2]
39,Slovenia,47,0,0,[7][2]
40,Portugal,41,0,0,[2]
41,Vietnam,38,0,16,[2]
42,Brazil,34,0,0,[2][8]
43,Indonesia,34,1,2,[2]
44,Ireland,34,0,0,[2]
45,Romania,31,0,5,[2]
46,Palestine,30,0,0,[2]
47,Poland,25,0,0,[2]
48,Qatar,24,0,0,[2]
49,Georgia,23,0,0,[2]
50,Algeria,20,0,0,[2]
51,Saudi Arabia,20,0,1,[2]
52,Russia,20,0,3,[2]
53,Argentina,19,1,0,[2]
54,Pakistan,19,0,1,[9]
55,Oman,18,0,9,[2]
56,Chile,17,0,0,[2]
57,Ecuador,17,0,0,[2]
58,Croatia,16,0,0,[2]
59,Costa Rica,13,0,0,[2]
60,Estonia,13,0,0,[2]
61,Hungary,13,0,0,[2]
62,South Africa,13,0,0,[2][10]
63,Serbia,12,0,0,[2]
64,Albania,12,1,0,[2]
65,Azerbaijan,11,0,0,[2]
66,Peru,11,0,0,[2]
67,Macau,10,0,10,[2]
68,Belarus,9,0,3,[2]
69,Panama,8,1,0,[11][12]
70,Latvia,8,0,1,[2]
71,Maldives,8,0,0,[2]
72,Mexico,8,0,4,[2]
73,Afghanistan,7,0,0,[2]
74,Bosnia and Herzegovina,7,0,0,[2]
75,Luxembourg,7,0,0,[2]
76,North Macedonia,7,0,0,[2]
77,Slovakia,7,0,0,[2]
78,Brunei,6,0,0,[2]
79,Bulgaria,6,0,0,[2]
80,Malta,6,0,0,[2]
81,Tunisia,6,0,0,[2]
82,Dominican Republic,5,0,0,[2]
83,Morocco,5,1,0,[2]
84,New Zealand,5,0,0,[2]
85,Paraguay,5,0,0,[2]
86,Senegal,4,0,1,[2]
87,Bangladesh,3,0,0,[2]
88,Colombia,3,0,0,[2]
89,Lithuania,3,0,0,[2]
90,Moldova,3,0,0,[2]
91,Cambodia,3,0,1,[2]
92,Bolivia,2,0,0,[2]
93,Burkina Faso,2,0,0,[2]
94,Cameroon,2,0,0,[2]
95,Cyprus,2,0,0,[2]
96,Honduras,2,0,0,[13]
97,Nigeria,2,0,0,[2]
98,Sri Lanka,2,0,1,[2]
99,Andorra,1,0,0,[2]
100,Armenia,1,0,0,[2]
101,Bhutan,1,0,0,[2]
102,DR Congo,1,0,0,[14]
103,Guernsey,1,0,0,[15]
104,Jamaica,1,0,0,[16]
105,Jersey,1,0,0,[17]
106,Jordan,1,0,0,[2]
107,Liechtenstein,1,0,0,[2]
108,Monaco,1,0,0,[2]
109,Mongolia,1,0,0,[2]
110,Togo,1,0,0,[2]
111,Turkey,1,0,0,[18]
112,Ukraine,1,0,0,[2]
113,Vatican City,1,0,0,[2]
114,Nepal,1,0,1,[2]
